operation	ordinal	duration_ns	max_rss_kb
validate	1	11814217	4492
command	1	12750633	4748
replay	1	17480828	4792
validate	2	12433112	4316
command	2	13141539	4740
replay	2	17389005	4876
validate	3	12204162	4456
command	3	13305718	4748
replay	3	17016712	4876
validate	4	11831911	4524
command	4	13225627	4740
replay	4	17128454	4736
validate	5	12037999	4620
command	5	13147220	4528
replay	5	17717122	4828
validate	6	12116647	4436
command	6	13058172	4500
replay	6	17028275	4868
validate	7	12280466	4636
command	7	13180152	4636
replay	7	17796112	4876
validate	8	11939082	4464
command	8	13071307	4704
replay	8	17615220	4736
validate	9	12181119	4496
command	9	12988701	4728
replay	9	17965241	4752
validate	10	12450346	4492
command	10	12994914	4696
replay	10	17633575	4752
validate	11	11843543	4408
command	11	13281591	4492
replay	11	17820888	4660
validate	12	12266660	4536
command	12	12988150	4700
replay	12	17538887	4652
validate	13	11832282	4412
command	13	13098849	4608
replay	13	17528089	4608
validate	14	12120544	4520
command	14	12930541	4628
replay	14	17678761	4772
validate	15	11951586	4536
command	15	18405442	4716
replay	15	20842133	4664
validate	16	12044171	4492
command	16	13291491	4740
replay	16	17837971	4652
validate	17	12159146	4480
command	17	13346224	4704
replay	17	17886875	4872
validate	18	11853611	4452
command	18	12735133	4700
replay	18	16985785	4876
validate	19	11780384	4620
command	19	12823320	4500
replay	19	17757269	4868
validate	20	11846759	4640
command	20	12941442	4432
replay	20	17279438	4816
